,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude,total
432,2016,9,27,Rinjani,Lesser Sunda Is,Indonesia,3726,Stratovolcano,Historical,,,,,,no,no,0,116.47,-8.42,3
383,2016,5,21,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,7.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),EXTREME (~$25 million or more),,no,no,0,98.392,3.17,9
399,2016,10,8,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,131.1,32.88,7
429,2016,6,9,Yellowstone,US-Wyoming,United States,2805,Caldera,Tephrochronology,1.0,Few (~1 to 50 deaths),,,,no,no,0,-110.67,44.43,4
419,2017,9,12,Campi Flegrei,Italy,Italy,458,Caldera,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,0,14.139,40.827,4
412,2017,7,1,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,8.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,0,109.92,-7.2,5
405,2018,1,5,Kadovar,New Guinea-NE of,Papua New Guinea,365,Stratovolcano,Holocene,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,144.62,-3.62,7
384,2018,1,23,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,0,138.55,36.62,9
389,2018,12,26,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,Few (~1 to 50 deaths),EXTREME (~$25 million or more),Few (~1 to 50 houses),no,yes,2,15.004,37.734,8
392,2018,7,16,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,0,-155.292,19.425,8
393,2018,3,30,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,4.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,no,3,167.83,-15.4,8
379,2018,1,13,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,,Very Many (~1001 or more deaths),MODERATE (~$1 to $5 million),,no,no,0,123.685,13.257,11
418,2018,3,21,Ijen,Java,Indonesia,2799,Stratovolcano,Historical,,,Few (~1 to 50 deaths),,,no,no,0,114.242,-8.058,4
401,2018,12,15,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,,,,MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,yes,2,168.12,-16.25,7
375,2018,12,22,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,437.0,Many (~101 to 1000 deaths),Very Many (~1001 or more deaths),EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,no,1,105.423,-6.102,14
378,2018,6,3,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,201.0,Many (~101 to 1000 deaths),Few (~1 to 50 deaths),EXTREME (~$25 million or more),Many (~101 to 1000 houses),no,no,2,-90.88,14.473,11
391,2019,6,26,Ulawun,New Britain-SW Pac,Papua New Guinea,2334,Stratovolcano,Historical,,,Few (~1 to 50 deaths),SEVERE (~>$5 to $24 million),,no,no,0,151.33,-5.05,8
414,2019,12,9,White Island,New Zealand,New Zealand,321,Stratovolcano,Historical,21.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,177.18,-37.52,5
400,2020,1,12,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,,,EXTREME (~$25 million or more),Very Many (~1001 or more houses),no,no,0,120.993,14.002,7
