,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude,total
287,1969,1,28,Iya,Lesser Sunda Is,Indonesia,637,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Many (~101 to 1000 houses),no,no,3,121.63,-8.88,5
254,1969,8,26,Narugo,Honshu-Japan,Japan,462,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,0,140.73,38.73,4
323,1970,5,5,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-19.7,63.98,7
342,1970,3,2,Campi Flegrei,Italy,Italy,458,Caldera,Historical,3.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,0,14.139,40.827,8
225,1971,9,6,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,,,,,,yes,no,2,165.8,-10.38,3
333,1971,10,26,La Palma,Canary Is,Spain,2426,Stratovolcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-17.83,28.58,8
242,1972,6,9,"Fournaise, Piton de la",Indian O-W,Reunion,2631,Shield volcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,55.713,-21.229,4
330,1973,4,5,"Hudson, Cerro",Chile-S,Chile,1905,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,0,-72.97,-45.9,8
263,1973,1,27,Vestmannaeyjar,Iceland-S,Iceland,279,Submarine volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-20.28,63.43,4
329,1974,10,10,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,4,-90.88,14.473,8
227,1974,10,17,Ritter Island,New Guinea-NE of,Papua New Guinea,140,Stratovolcano,Historical,,,,,,yes,no,1,148.121,-5.52,3
272,1974,7,28,Niigata-Yake-yama,Honshu-Japan,Japan,2400,Lava dome,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,138.03,36.92,4
344,1975,11,29,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),MODERATE (~$1 to $5 million),,yes,yes,0,-155.292,19.425,9
353,1975,1,,Marapi,Sumatra,Indonesia,2891,Complex volcano,Historical,80.0,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,2,100.473,-0.381,9
293,1976,8,12,Sangay,Ecuador,Ecuador,5230,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-78.33,-2.03,5
